Subscription Log - Started: 2025-03-31 16:34:38.822721
--------------------------------------------------
[2025-03-31 16:35:24.057] Received: 'Hello World: 0'
[2025-03-31 16:35:24.557] Received: 'Hello World: 1'
[2025-03-31 16:35:25.057] Received: 'Hello World: 2'
[2025-03-31 16:35:25.557] Received: 'Hello World: 3'
[2025-03-31 16:35:26.057] Received: 'Hello World: 4'
[2025-03-31 16:35:26.557] Received: 'Hello World: 5'
[2025-03-31 16:35:27.057] Received: 'Hello World: 6'
[2025-03-31 16:35:27.557] Received: 'Hello World: 7'
[2025-03-31 16:35:28.057] Received: 'Hello World: 8'
[2025-03-31 16:35:28.557] Received: 'Hello World: 9'
[2025-03-31 16:35:29.057] Received: 'Hello World: 10'
[2025-03-31 16:35:29.557] Received: 'Hello World: 11'
[2025-03-31 16:35:30.057] Received: 'Hello World: 12'
[2025-03-31 16:35:30.557] Received: 'Hello World: 13'
[2025-03-31 16:35:31.057] Received: 'Hello World: 14'
[2025-03-31 16:35:31.557] Received: 'Hello World: 15'
[2025-03-31 16:35:32.057] Received: 'Hello World: 16'
[2025-03-31 16:35:32.557] Received: 'Hello World: 17'
[2025-03-31 16:35:33.057] Received: 'Hello World: 18'
[2025-03-31 16:35:33.557] Received: 'Hello World: 19'
[2025-03-31 16:35:34.057] Received: 'Hello World: 20'
[2025-03-31 16:35:34.557] Received: 'Hello World: 21'
[2025-03-31 16:35:35.057] Received: 'Hello World: 22'
[2025-03-31 16:35:35.557] Received: 'Hello World: 23'
[2025-03-31 16:35:36.057] Received: 'Hello World: 24'
[2025-03-31 16:35:36.557] Received: 'Hello World: 25'
[2025-03-31 16:35:37.057] Received: 'Hello World: 26'
[2025-03-31 16:35:37.557] Received: 'Hello World: 27'
[2025-03-31 16:35:38.057] Received: 'Hello World: 28'
[2025-03-31 16:35:38.557] Received: 'Hello World: 29'
